concept_id_a,concept_id_b,cosine_similarity,shared_terms,page_path_a,page_path_b
within_city_citation_self_link_bias,world_city_citation_network,0.7831,city; self; link; pan; cities; spatial; directed; weights,concepts/measures/within_city_citation_self_link_bias.md,concepts/representations/world_city_citation_network.md
repeat_collaboration_lock_in,team_link_type_composition,0.7823,incumbent; newcomer; repeat; team; guimera; collaboration; link; repeated,concepts/mechanisms/repeat_collaboration_lock_in.md,concepts/measures/team_link_type_composition.md
patent_citation_source_roles,patent_to_patent_citation_noise,0.7809,patent; examiner; added; applicant; fuegi; role; source; marx,concepts/validations/patent_citation_source_roles.md,concepts/validations/patent_to_patent_citation_noise.md
peak_year_citation_alignment,publication_year_tail_heterogeneity_caveat,0.7800,peak; alignment; year; decay; parolo; trajectory; publication; attention,concepts/methods/peak_year_citation_alignment.md,concepts/validations/publication_year_tail_heterogeneity_caveat.md
policy_attention_coverage_bias,policy_mention_context_audit,0.7800,policy; mention; bornmann; source; mentions; haunschild; tracked; documents,concepts/validations/policy_attention_coverage_bias.md,concepts/validations/policy_mention_context_audit.md
city_collaboration_strength_degree_scaling,world_city_collaboration_network,0.7798,city; collaboration; strength; cities; scaling; pan; spatial; weighted,concepts/measures/city_collaboration_strength_degree_scaling.md,concepts/representations/world_city_collaboration_network.md
policy_attention_coverage_bias,policy_source_corpus_construction,0.7797,policy; bornmann; source; tracked; haunschild; mention; document; documents,concepts/validations/policy_attention_coverage_bias.md,concepts/methods/policy_source_corpus_construction.md
gender_parity_pocket_maps,low_output_parity_pocket_caveat,0.7792,parity; female; gender; pocket; output; male; cells; low,concepts/representations/gender_parity_pocket_maps.md,concepts/validations/low_output_parity_pocket_caveat.md
co_citation_credit_attribution,credit_allocation_matrix,0.7790,credit; focal; shen; matrix; cited; attribution; author; barabasi,concepts/methods/co_citation_credit_attribution.md,concepts/measures/credit_allocation_matrix.md
grant_acknowledgment_entity_recognition,grant_identifier_standardization_gap,0.7776,funder; grant; acknowledgment; hook; funding; name; attributions; identifiers,concepts/methods/grant_acknowledgment_entity_recognition.md,concepts/validations/grant_identifier_standardization_gap.md
city_collaboration_strength_degree_scaling,city_internal_collaboration_share,0.7768,city; collaboration; strength; cities; internal; pan; self; link,concepts/measures/city_collaboration_strength_degree_scaling.md,concepts/measures/city_internal_collaboration_share.md
elite_access_stratification_trend,university_tier_mixing_matrix,0.7767,tier; university; collaborations; tiers; collaboration; stratification; high; expected,concepts/mechanisms/elite_access_stratification_trend.md,concepts/representations/university_tier_mixing_matrix.md
nobel_prize_credit_canonization,nobel_prize_credit_validation,0.7758,credit; prize; laureates; nobel; shen; award; laureate; barabasi,concepts/mechanisms/nobel_prize_credit_canonization.md,concepts/validations/nobel_prize_credit_validation.md
faculty_hierarchy_strength,prestige_constrained_faculty_mobility,0.7754,faculty; hierarchy; upward; hiring; prestige; doctoral; clauset; mobility,concepts/measures/faculty_hierarchy_strength.md,concepts/mechanisms/prestige_constrained_faculty_mobility.md
lower_tier_assortativity_disadvantage,status_assortative_collaboration,0.7752,tier; assortativity; collaborations; collaboration; assortative; jones; expected; matching,concepts/mechanisms/lower_tier_assortativity_disadvantage.md,concepts/mechanisms/status_assortative_collaboration.md
between_topic_citation_disadvantage,within_topic_citation_disadvantage,0.7743,topic; kozlowski; topics; disadvantage; demographic; group; within; groups,concepts/mechanisms/between_topic_citation_disadvantage.md,concepts/mechanisms/within_topic_citation_disadvantage.md
citation_decay_model_comparison,citation_decay_rate_alpha,0.7741,decay; peak; exponential; parolo; post; plateau; rate; fits,concepts/methods/citation_decay_model_comparison.md,concepts/measures/citation_decay_rate_alpha.md
lead_role_ratio,team_hierarchy_flatness,0.7740,ratio; lead; team; teams; role; hierarchy; roles; term,concepts/measures/lead_role_ratio.md,concepts/mechanisms/team_hierarchy_flatness.md
high_jif_novelty_delay_interaction,journal_impact_factor_novelty_bias,0.7734,jif; novelty; novel; factor; journal; interaction; placement; high,concepts/validations/high_jif_novelty_delay_interaction.md,concepts/validations/journal_impact_factor_novelty_bias.md
exploration_exploitation_career_shifts,exploration_exploitation_sequence_nulls,0.7732,exploitation; exploration; hot; onset; streak; entropy; liu; streaks,concepts/mechanisms/exploration_exploitation_career_shifts.md,concepts/validations/exploration_exploitation_sequence_nulls.md
status_assortative_collaboration,university_tier_mixing_matrix,0.7726,tier; collaborations; expected; university; collaboration; jones; assortative; matrix,concepts/mechanisms/status_assortative_collaboration.md,concepts/representations/university_tier_mixing_matrix.md
explicit_plus_hidden_citation_rank_shift,topic_to_paper_hidden_credit_allocation,0.7724,hidden; foundational; rank; topic; credit; meng; allocation; explicit,concepts/measures/explicit_plus_hidden_citation_rank_shift.md,concepts/methods/topic_to_paper_hidden_credit_allocation.md
newcomer_incumbent_team_mix,team_link_type_composition,0.7716,incumbent; newcomer; team; guimera; link; mix; diversity; repeat,concepts/measures/newcomer_incumbent_team_mix.md,concepts/measures/team_link_type_composition.md
author_to_author_self_citation_edges,self_citation_team_size_denominator_effect,0.7710,self; author; king; team; authorship; size; pair; level,concepts/representations/author_to_author_self_citation_edges.md,concepts/validations/self_citation_team_size_denominator_effect.md
elite_access_stratification_trend,lower_tier_assortativity_disadvantage,0.7701,tier; access; collaboration; collaborations; high; elite; jones; stratification,concepts/mechanisms/elite_access_stratification_trend.md,concepts/mechanisms/lower_tier_assortativity_disadvantage.md
knowledge_depth_citation_trees,knowledge_depth_team_size_gradient,0.7701,tree; depth; knowledge; patent; backward; trees; size; team,concepts/measures/knowledge_depth_citation_trees.md,concepts/validations/knowledge_depth_team_size_gradient.md
direct_indirect_grant_patent_outcomes,grant_patent_lag_truncation_bias,0.7698,patent; grant; indirect; patents; direct; agha; lag; supported,concepts/measures/direct_indirect_grant_patent_outcomes.md,concepts/validations/grant_patent_lag_truncation_bias.md
continuant_collaborators,continuant_gatekeeping,0.7695,continuants; continuant; wagner; leydesdorff; collaboration; newcomer; degree; transient,concepts/mechanisms/continuant_collaborators.md,concepts/mechanisms/continuant_gatekeeping.md
biomedical_frontier_review_experiment,randomized_reviewer_proposal_assignment,0.7694,proposal; evaluator; randomized; reviewer; assignment; evaluators; boudreau; proposals,concepts/datasets/biomedical_frontier_review_experiment.md,concepts/methods/randomized_reviewer_proposal_assignment.md
fresh_collaborator_hot_streak_onset,hot_streak_team_size_phase_shift,0.7691,hot; streak; onset; team; collaborator; new; liu; size,concepts/mechanisms/fresh_collaborator_hot_streak_onset.md,concepts/validations/hot_streak_team_size_phase_shift.md
policy_mention_binary_indicator,policy_mention_coverage_rate,0.7687,mention; policy; mentioned; bornmann; least; binary; tracked; mentions,concepts/measures/policy_mention_binary_indicator.md,concepts/measures/policy_mention_coverage_rate.md
academic_origin_ambiguity_caveat,country_scientific_origin_proxy,0.7673,origin; country; affiliation; biographical; mobility; birth; sugimoto; indexed,concepts/validations/academic_origin_ambiguity_caveat.md,concepts/methods/country_scientific_origin_proxy.md
patent_age_forward_citation_control,patent_forward_citation_value_proxy,0.7664,patent; forward; patents; age; citing; value; technology; nano,concepts/validations/patent_age_forward_citation_control.md,concepts/measures/patent_forward_citation_value_proxy.md
awakening_intensity,immediate_post_sleep_awakening_window,0.7662,sleep; awakening; intensity; post; window; raan; van; sleeping,concepts/measures/awakening_intensity.md,concepts/methods/immediate_post_sleep_awakening_window.md
country_at_18_origin_proxy,country_scientific_origin_proxy,0.7653,country; origin; proxy; mobility; survey; franzoni; countries; residence,concepts/methods/country_at_18_origin_proxy.md,concepts/methods/country_scientific_origin_proxy.md
article_influence_score,journal_size_total_influence_effect,0.7648,article; influence; total; eigenfactor; journal; per; score; west,concepts/measures/article_influence_score.md,concepts/validations/journal_size_total_influence_effect.md
policy_document_mentions,policy_mention_context_audit,0.7645,policy; mention; mentions; bornmann; source; haunschild; mentioned; documents,concepts/measures/policy_document_mentions.md,concepts/validations/policy_mention_context_audit.md
open_access_route_typology,open_access_status,0.7644,publisher; bronze; access; repository; green; hybrid; gold; hosted,concepts/datasets/open_access_route_typology.md,concepts/datasets/open_access_status.md
openalex_author_disambiguation_features,openalex_author_orcid_coverage_audit,0.7644,orcid; author; priem; disambiguation; feature; publication; orr; resolution,concepts/methods/openalex_author_disambiguation_features.md,concepts/validations/openalex_author_orcid_coverage_audit.md
patent_examiner_citation_caveat,patent_to_patent_citation_noise,0.7630,patent; examiner; examiners; supplied; knowledge; applicant; flow; legal,concepts/validations/patent_examiner_citation_caveat.md,concepts/validations/patent_to_patent_citation_noise.md
ifbscp_threshold_exceedance_share,post_2004_ifbscp_acceleration,0.7608,ifbscp; threshold; chorus; self; factor; above; journal; exceedance,concepts/measures/ifbscp_threshold_exceedance_share.md,concepts/measures/post_2004_ifbscp_acceleration.md
citation_percentile_indicators,top_percentile_publication_share,0.7603,top; percentile; waltman; highly; percent; threshold; share; cited,concepts/measures/citation_percentile_indicators.md,concepts/measures/top_percentile_publication_share.md
fixed_effect_reputation_robustness_check,reputation_effects,0.7599,reputation; author; petersen; fixed; cumulative; crossover; effect; effects,concepts/validations/fixed_effect_reputation_robustness_check.md,concepts/mechanisms/reputation_effects.md
job_conditioned_return_intention,scientist_return_mobility_rate,0.7597,return; intention; job; origin; country; scientists; franzoni; emigrant,concepts/measures/job_conditioned_return_intention.md,concepts/measures/scientist_return_mobility_rate.md
biomedical_frontier_review_experiment,reviewer_proposal_intellectual_distance,0.7590,proposal; evaluator; distance; boudreau; review; expertise; reviewer; frontier,concepts/datasets/biomedical_frontier_review_experiment.md,concepts/measures/reviewer_proposal_intellectual_distance.md
faculty_hiring_attrition_dynamic_equilibrium,faculty_retention_attrition,0.7585,attrition; faculty; hiring; wapman; retention; roster; dynamic; group,concepts/mechanisms/faculty_hiring_attrition_dynamic_equilibrium.md,concepts/mechanisms/faculty_retention_attrition.md
lower_tier_assortativity_disadvantage,strongest_partner_impact_model,0.7585,tier; lower; collaboration; jones; collaborations; partners; university; cross,concepts/mechanisms/lower_tier_assortativity_disadvantage.md,concepts/mechanisms/strongest_partner_impact_model.md
self_citation_adjusted_cumulative_advantage_metric_design,self_citation_cumulative_amplification,0.7575,self; amplification; king; cumulative; direct; external; advantage; later,concepts/methods/self_citation_adjusted_cumulative_advantage_metric_design.md,concepts/mechanisms/self_citation_cumulative_amplification.md
city_internal_collaboration_share,world_city_citation_network,0.7561,city; cities; self; collaboration; pan; link; strength; weights,concepts/measures/city_internal_collaboration_share.md,concepts/representations/world_city_citation_network.md
elite_access_stratification_trend,random_tier_matching_baseline,0.7529,tier; expected; pair; collaborations; university; elite; collaboration; stratification,concepts/mechanisms/elite_access_stratification_trend.md,concepts/validations/random_tier_matching_baseline.md
direct_replication_protocol,original_author_fidelity_review,0.7526,replication; original; protocol; fidelity; materials; review; design; open,concepts/methods/direct_replication_protocol.md,concepts/methods/original_author_fidelity_review.md
elite_access_stratification_trend,status_assortative_collaboration,0.7522,tier; collaborations; collaboration; access; jones; expected; high; stratification,concepts/mechanisms/elite_access_stratification_trend.md,concepts/mechanisms/status_assortative_collaboration.md
random_tier_matching_baseline,status_assortative_collaboration,0.7518,tier; expected; collaborations; assortativity; collaboration; university; jones; pair,concepts/validations/random_tier_matching_baseline.md,concepts/mechanisms/status_assortative_collaboration.md
open_access_citation_advantage,open_access_citation_selection_bias,0.7501,route; access; advantage; piwowar; selection; funder; bronze; mandates,concepts/mechanisms/open_access_citation_advantage.md,concepts/validations/open_access_citation_selection_bias.md
hot_streak_impact_prediction_bias,single_hot_streak_uniqueness,0.7495,hot; streak; streaks; career; liu; careers; elevated; intervals,concepts/validations/hot_streak_impact_prediction_bias.md,concepts/validations/single_hot_streak_uniqueness.md
sleeping_beauty_count_matrix,sleeping_beauty_threshold_grid,0.7489,sleep; sleeping; awakening; raan; van; intensity; deep; threshold,concepts/representations/sleeping_beauty_count_matrix.md,concepts/methods/sleeping_beauty_threshold_grid.md
direct_indirect_novelty_impact_split,novelty_indirect_big_hit_stimulation,0.7482,hit; big; indirect; novelty; direct; novel; cited; later,concepts/validations/direct_indirect_novelty_impact_split.md,concepts/mechanisms/novelty_indirect_big_hit_stimulation.md
early_career_sponsorship,repeated_top_coauthor_access,0.7469,top; early; coauthor; later; scientist; access; junior; scientists,concepts/mechanisms/early_career_sponsorship.md,concepts/mechanisms/repeated_top_coauthor_access.md
group_h_index,group_h_index_contribution_decomposition,0.7464,index; group; hirsch; collective; member; contribution; individual; core,concepts/measures/group_h_index.md,concepts/representations/group_h_index_contribution_decomposition.md
initial_attention_drop_stability_check,paper_attention_half_life,0.7460,half; life; drop; peak; definition; threshold; attention; last,concepts/validations/initial_attention_drop_stability_check.md,concepts/measures/paper_attention_half_life.md
coercive_citation_screen_false_negative_check,coercive_citation_survey_linkage,0.7459,coercive; ifbscp; survey; coppp; screen; chorus; journals; waltman,concepts/validations/coercive_citation_screen_false_negative_check.md,concepts/validations/coercive_citation_survey_linkage.md
dimensions_grant_acknowledgment_mining,grant_identifier_standardization_gap,0.7451,funder; grant; acknowledgment; hook; name; funding; identifiers; identifier,concepts/methods/dimensions_grant_acknowledgment_mining.md,concepts/validations/grant_identifier_standardization_gap.md
migrant_traveler_mobility_split,non_directional_traveler_affiliation_pattern,0.7445,traveler; affiliation; directional; travelers; country; affiliations; mobile; origin,concepts/measures/migrant_traveler_mobility_split.md,concepts/measures/non_directional_traveler_affiliation_pattern.md
lower_tier_assortativity_disadvantage,random_tier_matching_baseline,0.7442,tier; expected; university; pair; assortativity; collaborations; jones; collaboration,concepts/mechanisms/lower_tier_assortativity_disadvantage.md,concepts/validations/random_tier_matching_baseline.md
attention_half_life_definition_sensitivity,publication_volume_rescaled_half_life,0.7441,half; life; rescaled; peak; drop; attention; parolo; threshold,concepts/validations/attention_half_life_definition_sensitivity.md,concepts/measures/publication_volume_rescaled_half_life.md
reader_experienced_oa_rate,unpaywall_reader_demand_sample,0.7435,request; unpaywall; reader; access; experienced; sample; requested; unique,concepts/measures/reader_experienced_oa_rate.md,concepts/datasets/unpaywall_reader_demand_sample.md
asymmetric_leader_archetype_mobility,contribution_archetype_career_progression,0.7426,leader; career; archetype; stages; specialized; progression; mid; archetypes,concepts/mechanisms/asymmetric_leader_archetype_mobility.md,concepts/mechanisms/contribution_archetype_career_progression.md
blog_and_news_mention_counts,blog_news_scientific_discourse_genre,0.7425,blog; news; media; blogs; mentions; outlet; costas; altmetric,concepts/measures/blog_and_news_mention_counts.md,concepts/mechanisms/blog_news_scientific_discourse_genre.md
journal_self_citation_exclusion,journal_self_citation_unit_boundary,0.7415,self; journal; west; exclusion; eigenfactor; metric; metrics; within,concepts/validations/journal_self_citation_exclusion.md,concepts/validations/journal_self_citation_unit_boundary.md
sleep_depth_duration_interaction,sleep_depth_length,0.7406,sleep; depth; deep; duration; raan; length; van; sleeping,concepts/measures/sleep_depth_duration_interaction.md,concepts/measures/sleep_depth_length.md
bronze_open_access_ambiguity,open_access_route_typology,0.7402,bronze; publisher; license; access; hosted; gold; free; route,concepts/validations/bronze_open_access_ambiguity.md,concepts/datasets/open_access_route_typology.md
coauthor_prestige_exposure,early_top_coauthor_dose_gradient,0.7401,top; exposure; coauthor; early; junior; career; scientist; prestige,concepts/measures/coauthor_prestige_exposure.md,concepts/measures/early_top_coauthor_dose_gradient.md
awakening_probability_function,sleeping_beauty_count_matrix,0.7399,sleep; awakening; sleeping; intensity; raan; van; beauty; depth,concepts/measures/awakening_probability_function.md,concepts/representations/sleeping_beauty_count_matrix.md
awakening_intensity_panel_plot,sleeping_beauty_count_matrix,0.7396,sleep; awakening; intensity; deep; raan; van; depth; sleeping,concepts/representations/awakening_intensity_panel_plot.md,concepts/representations/sleeping_beauty_count_matrix.md
hidden_to_explicit_citation_ratio,topic_to_paper_hidden_credit_allocation,0.7389,hidden; foundational; topic; credit; meng; explicit; allocation; level,concepts/measures/hidden_to_explicit_citation_ratio.md,concepts/methods/topic_to_paper_hidden_credit_allocation.md
sleep_depth_length,sleeping_beauty_threshold_grid,0.7389,sleep; sleeping; raan; van; deep; depth; threshold; during,concepts/measures/sleep_depth_length.md,concepts/methods/sleeping_beauty_threshold_grid.md
team_assembly_parameter_space,team_self_assembly_models,0.7382,team; incumbent; guimera; collaboration; assembly; model; repeat; parameter,concepts/methods/team_assembly_parameter_space.md,concepts/methods/team_self_assembly_models.md
awakening_intensity,sleeping_beauty_count_matrix,0.7380,sleep; awakening; intensity; sleeping; raan; van; post; classes,concepts/measures/awakening_intensity.md,concepts/representations/sleeping_beauty_count_matrix.md
off_diagonal_class_topic_relationships,topic_class_profile_matrix,0.7380,class; topic; diagonal; off; classes; griffiths; steyvers; topics,concepts/representations/off_diagonal_class_topic_relationships.md,concepts/representations/topic_class_profile_matrix.md
topic_prevalence_dynamics,topic_trend_slope,0.7378,topic; topics; griffiths; steyvers; trend; prevalence; hot; cold,concepts/methods/topic_prevalence_dynamics.md,concepts/measures/topic_trend_slope.md
awakening_intensity_panel_plot,awakening_intensity_tail_invariance,0.7376,awakening; sleep; intensity; raan; depth; tail; van; sleeping,concepts/representations/awakening_intensity_panel_plot.md,concepts/measures/awakening_intensity_tail_invariance.md
early_onset_hot_streak_partial_observability,hot_streak_onset_detection,0.7373,onset; hot; streak; career; pre; liu; streaks; careers,concepts/validations/early_onset_hot_streak_partial_observability.md,concepts/measures/hot_streak_onset_detection.md
cited_by_big_hit_indicator,novelty_indirect_big_hit_stimulation,0.7371,hit; big; citing; focal; novel; cited; hits; indirect,concepts/measures/cited_by_big_hit_indicator.md,concepts/mechanisms/novelty_indirect_big_hit_stimulation.md
faculty_retention_attrition,faculty_roster_panel,0.7370,faculty; attrition; wapman; roster; retention; hiring; doctorate; gender,concepts/mechanisms/faculty_retention_attrition.md,concepts/datasets/faculty_roster_panel.md
coauthor_prestige_exposure,early_career_sponsorship,0.7366,top; early; coauthor; exposure; scientist; junior; sponsorship; prestige,concepts/measures/coauthor_prestige_exposure.md,concepts/mechanisms/early_career_sponsorship.md
coauthor_prestige_exposure,repeated_top_coauthor_access,0.7366,top; coauthor; early; exposure; scientist; later; junior; access,concepts/measures/coauthor_prestige_exposure.md,concepts/mechanisms/repeated_top_coauthor_access.md
hot_streak_collective_impact_decomposition,hot_streak_model_fit_diagnostics,0.7363,hot; streak; model; envelope; career; cumulative; liu; fit,concepts/methods/hot_streak_collective_impact_decomposition.md,concepts/validations/hot_streak_model_fit_diagnostics.md
indirect_patent_paper_distance_distribution,science_technology_distance,0.7362,distance; patents; patent; ahmadpoor; technology; jones; boundary; connected,concepts/measures/indirect_patent_paper_distance_distribution.md,concepts/measures/science_technology_distance.md
peak_normalized_citation_trajectory,peak_year_citation_alignment,0.7362,peak; annual; maximum; decay; parolo; trajectory; normalized; year,concepts/representations/peak_normalized_citation_trajectory.md,concepts/methods/peak_year_citation_alignment.md
faculty_hiring_networks,prestige_constrained_faculty_mobility,0.7361,faculty; hiring; prestige; placement; wapman; doctoral; clauset; upward,concepts/representations/faculty_hiring_networks.md,concepts/mechanisms/prestige_constrained_faculty_mobility.md
career_topic_style_entropy,hot_streak_entropy_randomization_baseline,0.7357,entropy; onset; hot; streak; style; liu; exploitation; career,concepts/measures/career_topic_style_entropy.md,concepts/validations/hot_streak_entropy_randomization_baseline.md
faculty_placement_rank_change,prestige_constrained_faculty_mobility,0.7348,faculty; doctoral; rank; placement; prestige; downward; upward; clauset,concepts/measures/faculty_placement_rank_change.md,concepts/mechanisms/prestige_constrained_faculty_mobility.md
research_strategy_surprisal,risky_strategy_citation_variance,0.7345,strategy; surprisal; strategies; foster; variance; dispersion; risk; rare,concepts/measures/research_strategy_surprisal.md,concepts/measures/risky_strategy_citation_variance.md
policy_mention_context_audit,unintended_policy_source_contamination,0.7341,policy; source; mention; mentions; bornmann; haunschild; unintended; related,concepts/validations/policy_mention_context_audit.md,concepts/validations/unintended_policy_source_contamination.md
openalex_venue_host_model,openalex_work_version_resolution,0.7337,host; version; venue; priem; license; copies; preprint; works,concepts/representations/openalex_venue_host_model.md,concepts/methods/openalex_work_version_resolution.md
citation_diversion_hierarchy,hidden_citation_indirect_path_share,0.7333,hidden; foundational; path; meng; credit; indirect; cite; length,concepts/mechanisms/citation_diversion_hierarchy.md,concepts/measures/hidden_citation_indirect_path_share.md
